,Brand,Battery capacity,Screen Size,Touchscreen,Internal storage,Headphones,Face unlock,Fingerprint sensor,Wireless charging,NFC,Number of SIMs,SIM Type,4G/ LTE,5G,Expandable storage,Price,3G,EDGE,GPRS,Wi-Fi,VoLTE,Usb Type,Bluetooth,OS,cpuCores,Chipset,CPU,GPS,RAM,FM Radio,Rear Camera,Flash,Front Camera,PPI,Width,Height,Weight,Fast Charging,Removable Battery,Card Slot,Launched_Month,Launched_Year,Number of Rear Cameras,Resolution_x,Resolution_y,Light Sensor,Compass Sensor,Proximity Sensor,Magnetic Sensor,Gravity Sensor,Heathtracking Sensor,Gyroscope Sensor,Accelerometar Sensor,Vibration Sensor,Laser Sensor
61,Oppo,4230,6.2,Yes,64,Yes,No,Yes,No,No,2.0,Nano,Yes,No,256,8490,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.3,Yes,2,Yes,13,LED,8,270,75.4,155.9,170,No,No,Yes,April,2019,2,1520,720,1,0,1,1,0,1,1,1,0,0
62,Oppo,4230,6.2,Yes,64,Yes,No,Yes,No,No,2.0,Nano,Yes,No,256,8390,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.3,Yes,3,Yes,13,LED,8,270,75.4,155.9,170,No,No,Yes,April,2019,2,1520,720,1,0,1,1,0,1,1,1,0,0
63,Oppo,4230,6.2,Yes,64,Yes,No,Yes,No,No,2.0,Nano,Yes,No,256,10990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.3,Yes,4,Yes,13,LED,8,270,75.4,155.9,170,No,No,Yes,April,2019,2,1520,720,1,0,1,1,0,1,1,1,0,0
64,Oppo,4230,6.2,Yes,32,Yes,No,Yes,No,No,2.0,Nano,Yes,No,256,8490,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.3,Yes,2,Yes,13,LED,8,270,75.4,155.9,170,No,No,Yes,April,2019,2,1520,720,1,0,1,1,0,1,1,1,0,0
65,Oppo,4230,6.2,Yes,32,Yes,No,Yes,No,No,2.0,Nano,Yes,No,256,8390,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.3,Yes,3,Yes,13,LED,8,270,75.4,155.9,170,No,No,Yes,April,2019,2,1520,720,1,0,1,1,0,1,1,1,0,0
66,Oppo,4230,6.2,Yes,32,Yes,No,Yes,No,No,2.0,Nano,Yes,No,256,10990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.3,Yes,4,Yes,13,LED,8,270,75.4,155.9,170,No,No,Yes,April,2019,2,1520,720,1,0,1,1,0,1,1,1,0,0
67,Oppo,4230,6.2,Yes,32,Yes,No,Yes,No,No,2.0,Nano,Yes,No,256,8490,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.3,Yes,2,Yes,13,LED,8,270,75.4,155.9,170,No,No,Yes,April,2019,2,1520,720,1,0,1,1,0,1,1,1,0,0
68,Oppo,4230,6.2,Yes,32,Yes,No,Yes,No,No,2.0,Nano,Yes,No,256,8390,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.3,Yes,3,Yes,13,LED,8,270,75.4,155.9,170,No,No,Yes,April,2019,2,1520,720,1,0,1,1,0,1,1,1,0,0
69,Oppo,4230,6.2,Yes,32,Yes,No,Yes,No,No,2.0,Nano,Yes,No,256,10990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.3,Yes,4,Yes,13,LED,8,270,75.4,155.9,170,No,No,Yes,April,2019,2,1520,720,1,0,1,1,0,1,1,1,0,0
70,Realme,3765,6.53,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,0,16649,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,qualcomm,2.2,Yes,4,Yes,48,LED,16,394,76.1,161.3,191,Yes,No,No,July,2019,2,1080,2340,1,1,1,0,1,0,0,1,0,0
