,Battery capacity,Screen Size,Touchscreen,Internal storage,Headphones,Face unlock,Fingerprint sensor,Wireless charging,NFC,Number of SIMs,SIM Type,4G/ LTE,5G,Expandable storage,Price,3G,EDGE,GPRS,Wi-Fi,VoLTE,Usb Type,Bluetooth,OS,cpuCores,Chipset,CPU,GPS,RAM,FM Radio,Rear Camera,Flash,Front Camera,PPI,Width,Height,Weight,Fast Charging,Removable Battery,Card Slot,Launched_Month,Launched_Year,Number of Rear Cameras,Resolution_x,Resolution_y,Light Sensor,Compass Sensor,Proximity Sensor,Magnetic Sensor,Gravity Sensor,Heathtracking Sensor,Gyroscope Sensor,Accelerometar Sensor,Vibration Sensor,Laser Sensor,Manufacturer,Brand__Apple,Brand__Coolpad,Brand__Google,Brand__Huawei,Brand__Infinix,Brand__LG,Brand__Lenovo,Brand__Micromax,Brand__Motorola,Brand__Nokia,Brand__OnePlus,Brand__Oppo,Brand__Realme,Brand__Samsung,Brand__Tecno,Brand__Vivo,Brand__Xiaomi,logPrice
308,3000,5.45,1,64,1,1,1,0,0,2.0,1,1,0,256,7777,1,1,1,1,1,2,1,0,2,2,2.0,1,3.0,1,12.0,1,5.0,295,147.5,71.5,146.0,0,0,1,6,4,2,1440,720,1,1,1,0,0,0,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.958925938694943
309,3000,5.45,1,64,1,1,1,0,0,2.0,1,1,0,256,7180,1,1,1,1,1,2,1,0,2,2,2.0,1,3.0,1,12.0,1,5.0,295,147.5,71.5,146.0,0,0,1,6,4,2,1440,720,1,1,1,0,0,0,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.87905466204227
310,3000,5.45,1,32,1,1,1,0,0,2.0,1,1,0,256,7777,1,1,1,1,1,2,1,0,2,2,2.0,1,3.0,1,12.0,1,5.0,295,147.5,71.5,146.0,0,0,1,6,4,2,1440,720,1,1,1,0,0,0,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.958925938694943
311,3000,5.45,1,32,1,1,1,0,0,2.0,1,1,0,256,7180,1,1,1,1,1,2,1,0,2,2,2.0,1,3.0,1,12.0,1,5.0,295,147.5,71.5,146.0,0,0,1,6,4,2,1440,720,1,1,1,0,0,0,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.87905466204227
312,4030,6.22,1,64,1,1,1,0,0,2.0,1,0,0,256,11299,1,1,1,1,1,2,1,0,2,3,1.95,1,4.0,1,13.0,1,20.0,270,75.1,155.1,163.5,0,0,1,9,4,2,1520,720,1,1,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.332469505209247
313,4000,5.45,1,16,1,1,0,0,0,2.0,1,1,0,256,4999,1,1,1,1,1,2,1,0,2,3,2.0,1,2.0,1,12.0,1,5.0,295,70.4,146.3,165.0,1,0,1,8,5,1,720,1440,1,1,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.51699317141357
314,4000,5.45,1,16,1,1,0,0,0,2.0,1,1,0,256,5499,1,1,1,1,1,2,1,0,2,3,2.0,1,2.0,1,12.0,1,5.0,295,70.4,146.3,165.0,1,0,1,8,5,1,720,1440,1,1,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.612321536507814
315,2716,5.8,1,64,1,1,0,1,1,1.0,1,1,0,0,81000,1,1,1,1,1,0,1,1,1,0,2.39,1,3.0,0,12.0,1,7.0,463,70.9,143.6,174.0,1,0,0,11,3,2,1125,2436,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.302204433654575
316,2716,5.8,1,64,1,1,0,1,1,1.0,1,1,0,0,87699,1,1,1,1,1,0,1,1,1,0,2.39,1,3.0,0,12.0,1,7.0,463,70.9,143.6,174.0,1,0,0,11,3,2,1125,2436,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.381665775786713
317,3080,5.5,1,64,1,0,1,0,0,2.0,1,1,0,128,10299,1,1,1,1,1,1,1,0,2,3,2.0,1,4.0,1,12.0,0,5.0,401,75.8,155.4,165.0,0,0,1,11,3,2,1080,1920,1,1,1,0,0,0,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.239802082125802
